Date,Open,High,Low,Close
20190320,4070.79,4089.46,4031.11,4087.48
20190321,4083.95,4097.36,4005.15,4029.33
20190322,4028.51,4053.91,4021.54,4023.97
20190323,4022.71,4049.88,4015.96,4035.83
20190324,4035.16,4040.7,4006.19,4022.17
20190325,4024.11,4038.84,3934.03,3963.07
20190326,3969.23,3985.08,3944.75,3985.08
20190327,3984.24,4087.07,3977.81,4087.07
20190328,4087.58,4094.9,4040.27,4069.11
20190329,4068.3,4113.5,4034.1,4098.37
20190330,4092.14,4296.81,4053.91,4106.66
20190331,4105.46,4113.02,4094.1,4105.4
20190401,4105.36,4164.95,4096.9,4158.18
20190402,4156.92,4905.95,4155.32,4879.88
20190403,4879.96,5307.0,4876.62,4973.02
20190404,4971.31,5063.16,4836.79,4922.8
20190405,4922.81,5053.51,4919.49,5036.68
20190406,5036.79,5205.82,4992.22,5059.82
20190407,5062.79,5235.19,5050.41,5198.9
20190408,5199.84,5318.84,5148.21,5289.77
20190409,5289.92,5289.92,5167.42,5204.96
20190410,5204.11,5421.65,5193.38,5324.55
20190411,5325.08,5354.23,5017.3,5064.49
20190412,5061.2,5103.27,4955.85,5089.54
20190413,5088.85,5127.12,5061.59,5096.59
20190414,5095.76,5184.02,5053.57,5167.72
20190415,5167.32,5196.61,5024.07,5067.11
20190416,5066.58,5238.95,5055.19,5235.56
20190417,5236.14,5274.28,5219.21,5251.94
20190418,5251.48,5319.99,5250.51,5298.39
20190419,5298.15,5336.68,5233.33,5303.81
20190420,5304.16,5358.49,5295.88,5337.89
20190421,5335.88,5359.92,5257.34,5314.53
20190422,5312.49,5422.69,5280.28,5399.37
20190423,5399.37,5633.8,5389.41,5572.36
20190424,5571.51,5642.04,5418.26,5464.87
20190425,5466.52,5542.24,5181.34,5210.52
20190426,5210.3,5383.63,5177.37,5279.35
20190427,5279.47,5310.75,5233.64,5268.29
20190428,5271.75,5326.23,5255.68,5285.14
20190429,5284.86,5311.27,5216.49,5247.35
20190430,5247.73,5363.26,5224.19,5350.73
20190501,5350.91,5418.0,5347.65,5402.7
20190502,5402.42,5522.26,5394.22,5505.28
20190503,5505.55,5865.88,5490.2,5768.29
20190504,5769.2,5886.89,5645.47,5831.17
20190505,5831.07,5833.86,5708.04,5795.71
20190506,5791.69,5802.96,5653.69,5746.81
20190507,5745.6,5988.18,5741.4,5829.5
20190508,5849.48,5989.98,5794.72,5982.46
20190509,5982.32,6183.04,5982.32,6174.53
20190510,6175.82,6434.62,6161.52,6378.85
20190511,6379.67,7333.0,6375.7,7204.77
20190512,7203.51,7503.87,6815.77,6972.37
20190513,6971.18,8047.41,6898.28,7814.92
20190514,7807.88,8268.71,7696.39,7994.42
20190515,7989.37,8216.42,7899.11,8205.17
20190516,8194.5,8320.82,7729.61,7884.91
20190517,7886.93,7929.15,7038.12,7343.9
20190518,7341.66,7447.27,7251.5,7271.21
20190519,7267.96,8261.94,7267.96,8197.69
20190520,8196.92,8200.97,7678.78,7978.31
20190521,7977.97,8062.17,7843.34,7963.33
20190522,7956.29,7997.61,7615.99,7680.07
20190523,7677.27,7943.79,7533.2,7881.85
20190524,7881.7,8140.72,7824.45,7987.37
20190525,7991.89,8117.93,7965.98,8052.54
20190526,8055.21,8687.52,7924.67,8673.22
20190527,8674.07,8907.17,8668.71,8805.78
20190528,8802.76,8807.02,8634.72,8719.96
20190529,8718.59,8755.85,8482.73,8659.49
20190530,8661.76,9008.31,8221.27,8319.47
20190531,8320.29,8586.66,8172.55,8574.5
20190601,8573.84,8625.6,8481.58,8564.02
20190602,8565.47,8809.3,8561.24,8742.96
20190603,8741.75,8743.5,8204.19,8209.0
20190604,8210.99,8210.99,7564.49,7707.77
20190605,7704.34,7901.85,7668.67,7824.23
20190606,7819.63,7937.34,7571.47,7822.02
20190607,7826.9,8126.15,7788.37,8043.95
20190608,8036.77,8076.89,7837.61,7954.13
20190609,7949.67,7975.97,7583.22,7688.08
20190610,7692.28,8031.91,7586.73,8000.33
20190611,8004.24,8026.39,7772.8,7927.71
20190612,7925.43,8196.65,7862.36,8145.86
20190613,8145.55,8311.57,8087.06,8230.92
20190614,8230.9,8710.64,8183.39,8693.83
20190615,8689.75,8859.13,8618.4,8838.38
20190616,8841.44,9335.87,8814.56,8994.49
20190617,8988.92,9416.41,8988.92,9320.35
20190618,9335.47,9348.37,9004.9,9081.76
20190619,9078.73,9299.62,9070.4,9273.52
20190620,9273.06,9594.42,9232.48,9527.16
20190621,9525.07,10144.56,9525.07,10144.56
20190622,10175.92,11157.35,10107.04,10701.69
20190623,10696.69,11246.14,10556.1,10855.37
20190624,10853.74,11065.9,10610.43,11011.1
20190625,11007.2,11790.92,11007.2,11790.92
20190626,11778.58,13796.49,11755.6,13016.23
20190627,13017.12,13311.14,10491.85,11182.81
20190628,11162.17,12445.17,10914.5,12407.33
20190629,12400.76,12400.91,11508.38,11959.37
20190630,11931.99,12178.38,10799.01,10817.16
20190701,10796.93,11206.44,10089.31,10583.13
20190702,10588.68,10912.19,9737.88,10801.68
20190703,10818.16,11968.08,10818.16,11961.27
20190704,11972.72,12006.08,11166.57,11215.44
20190705,11203.1,11395.66,10874.96,10978.46
20190706,10982.54,11620.96,10982.54,11208.55
20190707,11217.62,11541.62,11148.8,11450.85
20190708,11446.6,12345.83,11393.37,12285.96
20190709,12284.33,12779.13,12233.26,12573.81
20190710,12571.54,13129.53,11710.98,12156.51
20190711,12139.71,12144.62,11158.92,11358.66
20190712,11354.3,11905.49,11179.14,11815.99
20190713,11813.13,11841.96,10908.48,11392.38
20190714,11381.02,11451.2,10234.58,10256.06
20190715,10257.84,11052.77,9992.01,10895.09
20190716,10896.65,10996.63,9448.11,9477.64
20190717,9471.21,9963.13,9163.13,9693.8
20190718,9698.5,10736.84,9376.8,10666.48
20190719,10653.96,10716.98,10229.63,10530.73
20190720,10525.82,11048.66,10451.28,10767.14
20190721,10777.53,10841.89,10389.6,10599.11
20190722,10596.95,10651.79,10154.92,10343.11
20190723,10346.75,10346.75,9883.59,9900.77
20190724,9887.73,9908.8,9614.31,9811.93
20190725,9809.1,10154.25,9773.96,9911.84
20190726,9913.13,9916.52,9717.98,9870.3
20190727,9871.17,10167.32,9411.52,9477.68
20190728,9491.63,9575.54,9252.3,9552.86
20190729,9548.18,9681.65,9472.95,9519.15
20190730,9522.33,9701.76,9437.34,9607.42
20190731,9604.05,10085.63,9598.1,10085.63
20190801,10077.44,10446.92,9922.02,10399.67
